Course,IS,SLN,Section,Sub/Credit,Day,StartTime,EndTime,Building,Room,Lecturer,Status,Current,Capacity,E,CR/NC,Additional,Other
ARCTIC 101,,10481,A,3,TTh,830,1020,MGH,97,"MALLON,SYDNEY TATE",,0,15,,,,
ARCTIC 101,,,,,,,,,,,,,,,,,
ARCTIC 200,,10482,A,3,T,330,520,BAG,108,"FABBI,NADINE C.",Open,20,30,,,,
ARCTIC 200,,,,,,,,,,,,,,,,,
HONORS 100,,16029,A,1,M,330,450,SIG,134,"WILLIS,ALISON E MILLS",,0,150,,,,H
HONORS 100,,16030,AA,QZ,M,330,450,SMI,305,,Open,0,10,,,,H
HONORS 100,,16031,AB,QZ,M,330,450,SMI,313,,Open,0,10,,,,H
HONORS 100,,16032,AC,QZ,M,330,450,SMI,311,,Open,0,10,,,,H
HONORS 100,,16033,AD,QZ,M,330,450,SMI,309,,Open,0,10,,,,H
HONORS 100,,16034,AE,QZ,M,330,450,SMI,307,,Open,0,10,,,,H
HONORS 100,,16035,AF,QZ,M,330,450,SMI,115,,Open,0,10,,,,H
HONORS 100,,16036,AG,QZ,M,330,450,THO,334,,Open,0,10,,,,H
HONORS 100,,16037,AH,QZ,M,330,450,THO,235,,Open,0,10,,,,H
HONORS 100,,16038,AI,QZ,M,330,450,THO,234,,Open,0,10,,,,H
HONORS 100,,16039,AJ,QZ,M,330,450,THO,217,,Open,0,10,,,,H
HONORS 100,,16040,AK,QZ,M,330,450,THO,215,,Open,0,10,,,,H
HONORS 100,,16041,AL,QZ,M,330,450,SAV,167,,Open,0,10,,,,H
HONORS 100,,16042,AM,QZ,M,330,450,MGH,289,,Open,0,10,,,,H
HONORS 100,,16043,AN,QZ,M,330,450,MGH,286,,Open,0,10,,,,H
HONORS 100,,16044,AO,QZ,M,330,450,MGH,255,,Open,0,10,,,,
HONORS 100,,16045,B,1,T,330,450,SMI,205,"WILLIS,ALISON E MILLS",,0,104,,,,H
HONORS 100,,16046,BA,QZ,T,330,450,THO,215,,Open,0,12,,,,H
HONORS 100,,16047,BB,QZ,T,330,450,THO,234,,Open,0,10,,,,H
HONORS 100,,16048,BC,QZ,T,330,450,THO,211,,Open,0,10,,,,H
HONORS 100,,16049,BD,QZ,T,330,450,SMI,107,,Open,0,10,,,,H
HONORS 100,,16050,BE,QZ,T,330,450,THO,331,,Open,0,10,,,,H
HONORS 100,,16051,BF,QZ,T,330,450,THO,217,,Open,0,10,,,,H
HONORS 100,,16052,BG,QZ,T,330,450,SAV,141,,Open,0,10,,,,H
HONORS 100,,16053,BH,QZ,T,330,450,MGH,282,,Open,0,10,,,,H
HONORS 100,,16054,BI,QZ,T,330,450,MGH,255,,Open,0,10,,,,H
HONORS 100,,16055,BJ,QZ,T,330,450,SMI,109,,Open,0,13,,,,H
HONORS 100,,,,,,,,,,,,,,,,,
HONORS 205,,16056,A,5,MW,930,1120,MGH,284,"MCCUE,FRANCES A",,0,22,,,,WH
HONORS 205,,,,,,,,,,,,,,,,,
HONORS 210,,16057,A,5,TTh,130,320,THO,334,"RIVERSO LEVANDER,NICLA",Open,16,25,,,,WH
HONORS 210,,16058,B,5,MWF,1230,150,MGH,74,"MACK,EDWARD T",Closed,18,18,,,,WH
HONORS 210,,,,,,,,,,,,,,,,,
HONORS 220,,16059,A,5,MW,1230,220,THO,202,"FRASER,OLIVER J.",Closed,23,23,,,,WH
HONORS 220,,16060,B,5,MW,130,320,MGH,238,"HERRON,JON",Closed,35,35,,,,WH
HONORS 220,,,,,,,,,,,,,,,,,
HONORS 230,,16061,A,5,MW,930,1120,MGH,206,"SODER,ROGER",Closed,15,15,,,,WH
HONORS 230,,16062,B,5,TTh,1130,120,MGH,271,"BESSNER,DANIEL M",Closed,30,30,,,,WH
HONORS 230,,16063,C,5,TTh,1030,1220,DEN,112,"TALBOTT,WILLIAM J.",Closed,21,20,,,,WH
HONORS 230,,23169,D,5,W,230,520,LOW,114,"PYLE,KENNETH B",,6,5,,,,WHJ
HONORS 230,,,,,,,,,,,,,,,,,
HONORS 240,,16064,A,5,TTh,1030,1220,MGH,242,"BERRIOS-MIRANDA,MARISOL",Closed,20,20,,,,WH
HONORS 240,,23224,B,5,MW,130,320,RAI,121,"DIMENT,GALYA",Open,5,20,,,,WHJ
HONORS 240,,,,,,,,,,,,,,,,,
HONORS 392,,16067,A,5,TTh,130,320,CMU,228,"LITFIN,KAREN T",Open,11,21,,,,WH
HONORS 392,,,,,,,,,,,,,,,,,
HONORS 393,,16068,A,5,MW,1130,120,MGH,271,"CECCARELLI,LEAH M.",Open,14,20,,,,WH
HONORS 393,,,,,,,,,,,,,,,,,
HONORS 394,,16069,A,5,TTh,1230,220,SMI,313,"BRIGHT,CLARE",Closed,17,17,,,,WH
HONORS 394,,16070,B,5,MW,330,520,MGH,295,"BUSHNELL,JEANETTE",Open,11,25,,,,WH
HONORS 394,,,,,F,330,420,MGH,287,,,,,,,,
HONORS 394,,,,,,,,,,,,,,,,,
HONORS 397,,16071,A,1or2,W,330,420,MGH,284,"WILLIS,ALISON E MILLS",,0,25,,CR/NC,,H
HONORS 397,,16072,AA,QZ,M,330,450,MGH,85,"WILLIS,ALISON E MILLS",,0,12,,,,H
HONORS 397,,16073,AB,QZ,T,330,450,MGH,85,"WILLIS,ALISON E MILLS",,0,13,,,,H
HONORS 397,,,,,,,,,,,,,,,,,
HONORS 398,,16075,A,2,T,130,320,THO,215,"GINSBERG,ARTHUR H",Open,3,15,,CR/NC,,H
HONORS 398,,16076,B,2,WF,230,320,MGH,228,"MARIN,ILEANA",Open,6,25,,CR/NC,,H
HONORS 398,,,,,,,,,,,,,,,,,
HONORS 499,IS,16077,A,1to5,TBA,,,,,,,0,10,E,CR/NC,,H
